circuit,bus_branch,endpoint_current_a,normal_rms_current_a,fault_current_a,length_mm,round_trip_planning_length_mm,length_basis,ambient_c,bundle_count,duty_cycle,inrush,connector_limit_a,conductor_selection,calculation_state
PWR-R_ANKLE_PITCH,RS-RLEG,2.30,SELECTION REQUIRED,SELECTION REQUIRED,267.754,535.508,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_ANKLE_ROLL,RS-RLEG,2.30,SELECTION REQUIRED,SELECTION REQUIRED,287.696,575.392,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_SHOULDER_PITCH,RS-LARM,2.30,SELECTION REQUIRED,SELECTION REQUIRED,114.724,229.447,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_SHOULDER_ROLL,RS-LARM,2.30,SELECTION REQUIRED,SELECTION REQUIRED,114.724,229.447,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_ELBOW_PITCH,RS-LARM,2.30,SELECTION REQUIRED,SELECTION REQUIRED,144.750,289.499,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_SHOULDER_PITCH,RS-RARM,2.30,SELECTION REQUIRED,SELECTION REQUIRED,114.724,229.447,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_SHOULDER_ROLL,RS-RARM,2.30,SELECTION REQUIRED,SELECTION REQUIRED,114.724,229.447,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_ELBOW_PITCH,RS-RARM,2.30,SELECTION REQUIRED,SELECTION REQUIRED,144.750,289.499,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-WAIST_YAW,RS-WAIST,4.40,SELECTION REQUIRED,SELECTION REQUIRED,74.615,149.231,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_WRIST_ROTATION,TTL-LDIST,0.88,SELECTION REQUIRED,SELECTION REQUIRED,267.381,534.762,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_GRIPPER,TTL-LDIST,0.88,SELECTION REQUIRED,SELECTION REQUIRED,307.725,615.449,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_WRIST_ROTATION,TTL-RDIST,0.88,SELECTION REQUIRED,SELECTION REQUIRED,267.381,534.762,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_GRIPPER,TTL-RDIST,0.88,SELECTION REQUIRED,SELECTION REQUIRED,307.725,615.449,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-HEAD_PAN,TTL-HEAD,0.88,SELECTION REQUIRED,SELECTION REQUIRED,74.325,148.650,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-HEAD_TILT,TTL-HEAD,0.88,SELECTION REQUIRED,SELECTION REQUIRED,113.709,227.418,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH 3 A AT AWG22 HEADLINE PLUS MICRO-FIT APPLICATION DERATING/TEMPERATURE-RISE VALIDATION OPEN,CF130 MOVING + MICRO-FIT TRANSITION + ALPHA 3051 PIGTAIL CANDIDATE; NOT RELEASED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
